source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,3,500,0.8970588235294118,0.8,0.8090276981011079,0.7915817075390215,0.7803837953091685,0.6690909090909091,0.9210526315789473,0.8655834564254062,augmented_r2
rf_tree_growth,4,25,0.7986111111111112,0.765,0.7771751494964841,0.7551220008180914,0.7388535031847133,0.6165137614678899,0.92,0.8333333333333334,augmented_r2
rf_tree_growth,4,50,0.8438861655773421,0.788,0.7989459870250204,0.7788057400603418,0.7711864406779662,0.6482504604051565,0.9271523178807947,0.849194729136164,augmented_r2
rf_tree_growth,4,100,0.8746595860566448,0.794,0.8023315915495721,0.7852075428320129,0.774468085106383,0.6605839416058394,0.9120521172638436,0.8622222222222222,augmented_r2
rf_tree_growth,4,200,0.8865059912854031,0.802,0.8115072325719108,0.7942280521123429,0.7796610169491526,0.6763110307414105,0.9235880398671097,0.8664688427299704,augmented_r2
rf_tree_growth,4,300,0.8908632897603486,0.805,0.8146171149612329,0.7976036203907555,0.7777777777777778,0.6845878136200717,0.9266666666666666,0.8694362017804155,augmented_r2
rf_tree_growth,4,400,0.8946078431372549,0.806,0.8158657833270907,0.7983564217234566,0.7811158798283262,0.6810035842293907,0.9302325581395349,0.8711111111111111,augmented_r2
rf_tree_growth,4,500,0.897739651416122,0.807,0.8166460146507926,0.7996096182369375,0.7854077253218884,0.6845878136200717,0.9271523178807947,0.8694362017804155,augmented_r2
rf_tree_growth,5,25,0.8009259259259259,0.774,0.7821476783809074,0.7653546873756722,0.7547169811320755,0.6386861313868614,0.8896103896103896,0.8455772113943029,augmented_r2
rf_tree_growth,5,50,0.8495370370370371,0.793,0.8002634256506284,0.784320079314276,0.7631027253668763,0.6654478976234004,0.9055374592833876,0.866965620328849,augmented_r2
rf_tree_growth,5,100,0.8743872549019608,0.792,0.8009368544902391,0.7828835490704723,0.7685774946921444,0.6520947176684881,0.9174917491749175,0.8655834564254062,augmented_r2
rf_tree_growth,5,200,0.8885484749455338,0.796,0.80451599474745,0.7874861065590267,0.7735042735042735,0.6606498194945848,0.9144736842105263,0.8694362017804155,augmented_r2
rf_tree_growth,5,300,0.8940631808278867,0.795,0.8032742248194659,0.7864511678915578,0.7741935483870968,0.6618444846292948,0.9114754098360656,0.8655834564254062,augmented_r2
rf_tree_growth,5,400,0.8960375816993464,0.799,0.8068449665178244,0.7904901222440974,0.7702127659574468,0.6702898550724637,0.9144736842105263,0.8724035608308606,augmented_r2
rf_tree_growth,5,500,0.8963779956427015,0.801,0.8094766052801194,0.7929636400652209,0.7649572649572649,0.6774193548387096,0.9205298013245033,0.875,augmented_r2
rf_tree_growth,6,25,0.8059640522875817,0.766,0.7704271221037639,0.7556313282670742,0.7452631578947368,0.6162361623616236,0.8643533123028391,0.8558558558558559,augmented_r2
rf_tree_growth,6,50,0.8532135076252724,0.779,0.7848177173971842,0.7690064866056558,0.7615062761506276,0.6321626617375231,0.8846153846153846,0.8609865470852018,augmented_r2
rf_tree_growth,6,100,0.8773148148148148,0.785,0.793035306044598,0.7760194846839157,0.7725321888412017,0.6436363636363637,0.8996763754045307,0.8562962962962963,augmented_r2
rf_tree_growth,6,200,0.8888208061002179,0.786,0.7956332068363906,0.7773786113039081,0.7602591792656588,0.6510791366906474,0.9144736842105263,0.8567208271787297,augmented_r2
rf_tree_growth,6,300,0.8933142701525054,0.795,0.8045673046293813,0.7870476770851201,0.7741935483870968,0.6630824372759857,0.9174917491749175,0.8635014836795252,augmented_r2
rf_tree_growth,6,400,0.8965141612200436,0.8,0.8087013152949869,0.7917817461294533,0.7784946236559139,0.6726943942133815,0.9180327868852459,0.8655834564254062,augmented_r2
rf_tree_growth,6,500,0.8973992374727668,0.797,0.804897485066396,0.7883036216724386,0.7748917748917749,0.6666666666666666,0.9120521172638436,0.865979381443299,augmented_r2
rf_tree_growth,7,25,0.8021514161220044,0.771,0.780079323534558,0.7605820750578035,0.7546391752577319,0.6194029850746269,0.9032258064516129,0.8430493273542601,augmented_r2
rf_tree_growth,7,50,0.8447031590413944,0.787,0.7945834069635624,0.7786228715855618,0.7784946236559139,0.6593406593406593,0.8938906752411575,0.8466076696165191,augmented_r2
