source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,8,25,0.8079384531590414,0.768,0.7779957192388796,0.7592556933527207,0.7542372881355932,0.6220614828209765,0.8961038961038961,0.8395802098950524,filtered_r2
rf_tree_growth,8,50,0.857911220043573,0.787,0.7948422890332026,0.77849590923643,0.7669491525423728,0.6521739130434783,0.8996763754045307,0.8605697151424287,filtered_r2
rf_tree_growth,8,100,0.8813316993464052,0.793,0.802563427304157,0.784445658479041,0.7761194029850746,0.6593806921675774,0.9180327868852459,0.8567208271787297,filtered_r2
rf_tree_growth,8,200,0.894880174291939,0.803,0.8124073172584957,0.7954731049793324,0.7949260042283298,0.6726943942133815,0.9180327868852459,0.8639760837070254,filtered_r2
rf_tree_growth,8,300,0.8988970588235294,0.806,0.8166328501158225,0.7988219310988633,0.7906976744186046,0.6786355475763016,0.9302325581395349,0.866965620328849,filtered_r2
rf_tree_growth,8,400,0.9020288671023965,0.799,0.8086984676471431,0.7910032630945213,0.7857142857142857,0.6654545454545454,0.9205298013245033,0.8630952380952381,filtered_r2
rf_tree_growth,8,500,0.9020969498910676,0.799,0.8080191984057778,0.7912004056217379,0.7855626326963907,0.6715063520871143,0.9144736842105263,0.8605341246290801,filtered_r2
rf_tree_growth,9,25,0.8089596949891068,0.776,0.7843557736018124,0.7666483008386945,0.7546391752577319,0.6275229357798165,0.8976897689768977,0.8575712143928036,filtered_r2
rf_tree_growth,9,50,0.8538262527233116,0.797,0.8062806592490089,0.7890631711284628,0.7793814432989691,0.6666666666666666,0.9163879598662207,0.8626865671641791,filtered_r2
rf_tree_growth,9,100,0.8789488017429193,0.801,0.8118376357289603,0.7937619142678282,0.7770700636942676,0.6774193548387096,0.9297658862876255,0.8630952380952381,filtered_r2
rf_tree_growth,9,200,0.8950844226579521,0.794,0.8045915013594318,0.7860695366387701,0.7643312101910829,0.6642728904847397,0.9266666666666666,0.8630952380952381,filtered_r2
rf_tree_growth,9,300,0.8986928104575164,0.798,0.8073420651897069,0.7903462770453695,0.7761194029850746,0.6726618705035972,0.9174917491749175,0.8630952380952381,filtered_r2
rf_tree_growth,9,400,0.900599128540305,0.808,0.8182840108394211,0.8010051234618187,0.7872340425531915,0.6857142857142857,0.9302325581395349,0.8699551569506726,filtered_r2
rf_tree_growth,9,500,0.9028458605664488,0.804,0.8137072694899263,0.7966359033175038,0.7837259100642399,0.6822262118491921,0.9240924092409241,0.8647845468053492,filtered_r2
