source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,2,400,0.8719362745098039,0.81,0.8194833669455694,0.8036628908730372,0.7829787234042553,0.6924428822495606,0.9240924092409241,0.878419452887538,baseline
rf_tree_growth,2,500,0.8729575163398693,0.811,0.8198047788192081,0.8049614972251053,0.7846481876332623,0.6958041958041958,0.9180327868852459,0.8807339449541285,baseline
rf_tree_growth,3,25,0.7773692810457516,0.79,0.7999379059642223,0.7827794440471422,0.7468354430379747,0.6678445229681979,0.9174917491749175,0.867579908675799,baseline
rf_tree_growth,3,50,0.8214869281045751,0.804,0.8121355890518261,0.7974431864605679,0.7612903225806451,0.6875,0.9139072847682119,0.8858447488584474,baseline
rf_tree_growth,3,100,0.8535539215686274,0.797,0.8058864810763235,0.7902542015349122,0.7629310344827587,0.671304347826087,0.9108910891089109,0.878419452887538,baseline
rf_tree_growth,3,200,0.8639705882352942,0.81,0.8176641428695376,0.8039793998098487,0.7732181425485961,0.697754749568221,0.9114754098360656,0.888208269525268,baseline
rf_tree_growth,3,300,0.8680555555555556,0.803,0.8128336447232563,0.7958470131681232,0.7669491525423728,0.6784452296819788,0.9271523178807947,0.8787878787878788,baseline
rf_tree_growth,3,400,0.8739787581699346,0.803,0.8136557886557887,0.796153069153069,0.7606837606837606,0.6818181818181818,0.9333333333333333,0.8787878787878788,baseline
rf_tree_growth,3,500,0.8735702614379085,0.805,0.8155274364197651,0.7985679629552271,0.7682403433476395,0.6852173913043478,0.9302325581395349,0.878419452887538,baseline
rf_tree_growth,4,25,0.7702205882352942,0.784,0.794404996799132,0.7765178123695077,0.7303609341825902,0.6714031971580817,0.92,0.8558558558558559,baseline
rf_tree_growth,4,50,0.818218954248366,0.814,0.8219249190624638,0.8077531191981836,0.7605042016806722,0.7135325131810193,0.9240924092409241,0.8895705521472392,baseline
rf_tree_growth,4,100,0.8472222222222222,0.805,0.8146361600914269,0.7979439891323789,0.7589098532494759,0.6879432624113475,0.9302325581395349,0.8814589665653495,baseline
rf_tree_growth,4,200,0.8639705882352942,0.806,0.8147048702493815,0.7994330800915134,0.7708779443254818,0.6888111888111889,0.9180327868852459,0.8810975609756098,baseline
