epoch tr_q1 tr_median tr_q3 vl_q1 vl_median vl_q3 vl_tumour_q1 vl_tumour_median vl_tumour_q3 n
84 -0.249470 -0.247890 -0.224341 -0.090804 -0.080110 -0.033144 97.244898 97.653061 97.755102 9
85 -0.249636 -0.248157 -0.240595 -0.103953 -0.092527 -0.057197 97.244898 97.959184 98.061224 9
86 -0.250255 -0.249432 -0.247251 -0.112243 -0.101952 -0.083707 97.653061 97.857143 98.265306 9
87 -0.250095 -0.249849 -0.247347 -0.108094 -0.093165 -0.064108 97.653061 97.959184 98.061224 9
88 -0.251927 -0.250941 -0.249395 -0.122598 -0.110827 -0.095792 97.806122 98.418367 98.520408 8
89 -0.251456 -0.250718 -0.249795 -0.120106 -0.111979 -0.093221 97.959184 98.571429 98.673469 8
90 -0.251405 -0.250913 -0.248828 -0.114064 -0.110005 -0.100489 98.163265 98.571429 98.673469 7
91 -0.252067 -0.250212 -0.249085 -0.121534 -0.114255 -0.090455 98.010204 98.469388 98.571429 7
92 -0.251920 -0.251001 -0.250120 -0.114799 -0.105563 -0.093556 97.908163 97.959184 98.571429 7
93 -0.251885 -0.251146 -0.250177 -0.112417 -0.110764 -0.095220 98.112245 98.163265 98.265306 7
94 -0.252498 -0.251108 -0.250683 -0.111234 -0.104755 -0.101478 97.857143 98.265306 98.673469 7
95 -0.252964 -0.251356 -0.250485 -0.115220 -0.110250 -0.101323 97.959184 98.265306 98.367347 7
96 -0.252393 -0.251436 -0.250871 -0.117090 -0.109039 -0.098041 97.704082 98.163265 98.367347 7
97 -0.252927 -0.251882 -0.251105 -0.111460 -0.108794 -0.103450 98.010204 98.163265 98.469388 7
98 -0.252475 -0.251918 -0.250431 -0.111871 -0.104300 -0.090291 97.857143 98.265306 98.418367 7
99 -0.252387 -0.251976 -0.250542 -0.118790 -0.114022 -0.100375 98.061224 98.469388 98.520408 7
100 -0.253103 -0.252641 -0.251094 -0.115378 -0.111704 -0.107953 98.112245 98.265306 98.469388 7
101 -0.253174 -0.252335 -0.250764 -0.119310 -0.108742 -0.106566 98.239796 98.520408 98.647959 6
102 -0.252925 -0.252796 -0.252129 -0.122185 -0.114790 -0.099373 98.367347 98.418367 98.469388 6
103 -0.253596 -0.252922 -0.250477 -0.118060 -0.112472 -0.100593 97.806122 98.214286 98.622449 6
104 -0.253438 -0.252892 -0.251678 -0.120683 -0.115858 -0.109912 98.290816 98.418367 98.698980 6
105 -0.253392 -0.253116 -0.253052 -0.120129 -0.117005 -0.107021 98.265306 98.316327 98.520408 6
106 -0.253724 -0.252889 -0.252472 -0.119076 -0.118925 -0.115824 98.163265 98.469388 98.545918 6
107 -0.253809 -0.253362 -0.252743 -0.115283 -0.110030 -0.105400 98.086735 98.265306 98.367347 6
