kimg	fid	precision	recall
502.5	50.5283966	0.309453351	0.0653833896
505	50.372589	0.307321048	0.0629444558
507.5	50.2152669	0.305262778	0.0605267148
510	50.0591706	0.303312088	0.0581831485
512.5	49.9070065	0.301502529	0.0559667387
515	49.7614487	0.299867647	0.0539304675
517.5	49.6251416	0.298440993	0.0521273166
520	49.500704	0.297256115	0.050610268
522.5	49.3907352	0.296346561	0.0494323036
525	49.2978219	0.295745881	0.0486464053
527.5	49.2245463	0.295487622	0.0483055551
530	49.1673246	0.295502454	0.0483817655
532.5	49.1144274	0.295589977	0.0487168038
535	49.0651298	0.295737284	0.049277256
537.5	49.0190755	0.29593763	0.0500342229
540	48.9759101	0.296184269	0.0509588053
542.5	48.9352809	0.296470455	0.0520221039
545	48.8968368	0.296789442	0.0531952195
547.5	48.8602282	0.297134486	0.054449253
550	48.8251067	0.29749884	0.055755305
552.5	48.791125	0.297875759	0.0570844765
555	48.757937	0.298258496	0.058407868
557.5	48.7251973	0.298640308	0.0596965806
560	48.6925619	0.299014447	0.0609217148
562.5	48.6596873	0.299374168	0.0620543716
565	48.6262311	0.299712726	0.0630656516
567.5	48.5918519	0.300023375	0.0639266556
570	48.5562093	0.300299369	0.0646084846
572.5	48.5189639	0.300533963	0.0650822391
575	48.4797775	0.300720411	0.06531902
577.5	48.4378615	0.300859348	0.0653164577
580	48.3914967	0.300978156	0.0651732139
582.5	48.3412273	0.301081999	0.0649143734
585	48.287826	0.301172997	0.0645543856
587.5	48.2320626	0.30125327	0.0641077002
590	48.1747041	0.301324939	0.0635887667
592.5	48.116514	0.301390123	0.0630120349
595	48.0582522	0.301450944	0.0623919543
597.5	48.000675	0.301509522	0.0617429744
600	47.9445351	0.301567976	0.0610795449
602.5	47.8905816	0.301628428	0.0604161155
605	47.8395606	0.301692997	0.0597671356
607.5	47.7922154	0.301763803	0.059147055
610	47.7492871	0.301842967	0.0585703232
612.5	47.7115151	0.30193261	0.0580513897
615	47.6796381	0.302034851	0.0576047043
617.5	47.6543946	0.30215181	0.0572447165
620	47.6365242	0.302285609	0.056985876
622.5	47.6267687	0.302438367	0.0568426322
625	47.6259585	0.302661522	0.0568437176
627.5	47.6350296	0.303390319	0.057119962
630	47.6531842	0.30467148	0.0576726757
632.5	47.6793247	0.306436526	0.0584681428
635	47.7123549	0.308616977	0.0594726476
637.5	47.7511794	0.311144354	0.0606524744
640	47.7947012	0.313950178	0.0619739073
