kimg	fid	precision	recall
697.5	37.8914098	0.571720095	0.0470599823
700	37.981113	0.569252098	0.0466957809
702.5	38.0678585	0.566871015	0.0463444053
705	38.1496395	0.564631167	0.0460138718
707.5	38.2244337	0.562586876	0.0457121965
710	38.2902065	0.560792463	0.0454473956
712.5	38.3449151	0.559302248	0.0452274852
715	38.3865139	0.558170555	0.0450604816
717.5	38.4129609	0.557451703	0.044954401
720	38.422225	0.557200015	0.0449172594
722.5	38.4100261	0.557475269	0.044954401
725	38.3749792	0.558261428	0.0450604816
727.5	38.3194336	0.559499084	0.0452274852
730	38.2457606	0.56112883	0.0454473956
732.5	38.1563421	0.563091257	0.0457121965
735	38.05356	0.565326959	0.0460138718
737.5	37.9397876	0.567776527	0.0463444053
740	37.8173819	0.570380556	0.0466957809
742.5	37.6886777	0.573079636	0.0470599823
745	37.5559833	0.57581436	0.0474289935
747.5	37.4215769	0.578525322	0.0477947981
750	37.2877055	0.581153113	0.0481493802
752.5	37.1565841	0.583638326	0.0484847234
755	37.0303966	0.585921554	0.0487928116
757.5	36.9112986	0.587943389	0.0490656287
760	36.8014205	0.589644423	0.0492951584
762.5	36.7028722	0.59096525	0.0494733847
765	36.6177496	0.591846461	0.0495922912
767.5	36.5481413	0.592228649	0.0496438619
770	36.4899768	0.59222995	0.0495855363
772.5	36.4317321	0.592191033	0.0493532008
775	36.3734373	0.592125933	0.0489645499
777.5	36.3154934	0.592038006	0.048439624
780	36.258299	0.591930609	0.0477984636
782.5	36.20225	0.5918071	0.0470611091
785	36.1477403	0.591670834	0.0462476009
787.5	36.0951612	0.59152517	0.0453779795
790	36.0449021	0.591373463	0.0444722853
792.5	35.9973507	0.59121907	0.0435505588
795	35.9528929	0.591065349	0.0426328403
797.5	35.9119134	0.590915656	0.0417391704
800	35.8747964	0.590773348	0.0408895895
802.5	35.8419252	0.590641783	0.0401041379
805	35.8136832	0.590524315	0.0394028562
807.5	35.7904543	0.590424304	0.0388057847
810	35.7726234	0.590345105	0.038332964
812.5	35.7605768	0.590290075	0.0380044344
