kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
135	2.08810771	0.760335404	0.814517289	0.894422912	0.055399215
136	2.07362978	0.765304951	0.812735494	0.893512905	0.0560535909
137	2.07576161	0.763820096	0.814612818	0.892632716	0.0566739258
138	2.0820341	0.759640853	0.819261564	0.891736191	0.0572638586
139	2.09202358	0.753342753	0.8249936	0.891037302	0.0578880986
140	2.1053101	0.745500261	0.830120755	0.89075008	0.0586113678
141	2.17805678	0.723972812	0.835038425	0.895929231	0.0595448921
142	2.32201194	0.686848233	0.840410097	0.907607672	0.0606609189
143	2.46343742	0.651554293	0.844749304	0.919388529	0.0618077159
144	2.52857693	0.635522848	0.846569034	0.924873365	0.0628335292
145	2.48173859	0.644624243	0.844792852	0.922636358	0.0637382491
146	2.37245769	0.665910079	0.840323262	0.917588534	0.0646028648
147	2.25310383	0.689276249	0.834648839	0.912496442	0.0653841756
148	2.17604194	0.704620533	0.829258175	0.910125707	0.0660389449
149	2.14059528	0.712032205	0.823399186	0.910125	0.0665542296
150	2.11067237	0.718355945	0.816579882	0.910125	0.0669858646
151	2.08992559	0.722774175	0.81090784	0.910125	0.0673924386
152	2.08201926	0.724467016	0.808491256	0.910125	0.0678325367
153	2.08657211	0.723498903	0.810492587	0.908163052	0.0682964467
154	2.09793628	0.721031373	0.815197056	0.903600623	0.0687614989
155	2.11215042	0.717828958	0.820421201	0.898649759	0.0692733108
156	2.12525391	0.714656023	0.823981627	0.895523122	0.0698775176
157	2.13775087	0.711189973	0.825569244	0.894178859	0.0706665093
158	2.15131634	0.707114083	0.826693011	0.893059369	0.0716377845
159	2.16333113	0.70330962	0.827754517	0.892290867	0.0726876974
160	2.17117488	0.70065814	0.829154966	0.892000078	0.0737125838
161	2.17575528	0.698943992	0.831690799	0.892777833	0.0746952502
162	2.17962011	0.697444998	0.835087898	0.894531738	0.0756881595
163	2.18229854	0.696379617	0.838076438	0.896301024	0.076685232
164	2.18331893	0.695966572	0.839386413	0.897124754	0.0776803693
165	2.16760295	0.69802349	0.838586914	0.89638511	0.0786784131
166	2.13216499	0.702661805	0.836783301	0.894716761	0.0796807855
