kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
300	2.12617997	0.627449906	0.851179542	0.907027223	0.197740321
301	2.12722221	0.627140402	0.852761956	0.904908116	0.199199835
302	2.12998745	0.626272842	0.856330662	0.902435942	0.200876318
303	2.13382106	0.624973038	0.859930635	0.900377638	0.202615831
304	2.13806813	0.623366503	0.861606644	0.89950025	0.204264429
305	2.14489992	0.619167802	0.860786922	0.901852537	0.205792344
306	2.15457935	0.612028761	0.858937481	0.907157053	0.207281121
307	2.16326237	0.605266892	0.857071838	0.912508044	0.208734146
308	2.16710407	0.602200484	0.856203266	0.914999259	0.210154785
309	2.16635197	0.603268497	0.856514409	0.914734037	0.211536907
310	2.16465361	0.60567869	0.857216559	0.914103942	0.212882605
311	2.16294037	0.60811	0.857924861	0.91339186	0.214208713
312	2.16214275	0.609241925	0.858254619	0.912880018	0.215532067
313	2.16890539	0.607131057	0.857729345	0.912592789	0.216822601
314	2.18415438	0.602370699	0.856544732	0.912351666	0.218081234
315	2.19953697	0.597568634	0.855349741	0.912155227	0.219376689
316	2.20669851	0.595332978	0.854793399	0.912002104	0.220777702
317	2.20155904	0.595333941	0.857396544	0.91190266	0.222364433
318	2.18858402	0.595338927	0.863266506	0.911838276	0.224098771
319	2.17201969	0.595347262	0.869187897	0.911762252	0.225868048
320	2.15611173	0.595358938	0.871944669	0.911627878	0.227559587
321	2.13841078	0.597813746	0.871335201	0.909987117	0.229133656
322	2.11755645	0.603330739	0.869959121	0.906532097	0.230655625
323	2.10011843	0.608892645	0.868570984	0.903093003	0.232165777
324	2.09266831	0.611481419	0.867924721	0.901500473	0.233704382
325	2.09761364	0.610594376	0.868427831	0.902037333	0.235304236
326	2.10893062	0.60851056	0.86956268	0.903408771	0.236938072
327	2.12075278	0.606202297	0.870707472	0.905194334	0.238555347
328	2.12721423	0.60464142	0.871240443	0.906973885	0.240105518
329	2.12849108	0.603986605	0.870200354	0.909125862	0.241568212
330	2.12926076	0.603554245	0.867854796	0.911773305	0.242976312
331	2.12991889	0.603113031	0.865488689	0.914027554	0.244357456
332	2.13085974	0.602431816	0.86438712	0.914999721	0.245739275
333	2.13241581	0.600566791	0.864925272	0.913842704	0.247133458
334	2.13442184	0.597559818	0.866159951	0.911233224	0.248524176
335	2.13651965	0.594752837	0.867457043	0.908600882	0.24989871
336	2.13835102	0.593488047	0.868182591	0.907375365	0.251244342
337	2.14007264	0.593696531	0.868374389	0.907742304	0.25253218
338	2.14183207	0.594241996	0.868523614	0.908648403	0.253777342
339	2.14320609	0.594979734	0.868620719	0.909758388	0.25503579
340	2.14377135	0.595765348	0.868656006	0.910737241	0.256363495
341	2.14256376	0.596808566	0.867829065	0.911649576	0.257781388
342	2.1393696	0.598175695	0.865964453	0.912632218	0.259263824
343	2.13496282	0.599468599	0.864083505	0.913420564	0.260799258
344	2.13011757	0.600289037	0.863207808	0.913749907	0.26237615
345	2.12313974	0.60063154	0.864854718	0.910714469	0.264049448
346	2.11356212	0.600851483	0.86856877	0.903869932	0.26581266
347	2.1042739	0.601061654	0.872315362	0.896965427	0.267554005
348	2.098165	0.60137476	0.874059631	0.893750956	0.26916168
349	2.09483401	0.602095948	0.872419708	0.894592022	0.270584118
350	2.09200405	0.603173407	0.868720828	0.896731437	0.271900349
351	2.09003298	0.604156669	0.86498954	0.899495358	0.273191648
352	2.08927943	0.604595193	0.863252397	0.902210649	0.274539281
353	2.10808913	0.599901361	0.865142358	0.905387765	0.275958925
354	2.15050185	0.589317389	0.869405022	0.90923001	0.277410863
355	2.19328615	0.578640687	0.873705032	0.912478646	0.278898444
356	2.21320487	0.573670027	0.875706952	0.9138746	0.280425031
357	2.20629816	0.574305812	0.874748723	0.91341967	0.282011581
358	2.19071152	0.575742719	0.872450207	0.91239299	0.283653323
359	2.17498831	0.577192216	0.869788058	0.911357314	0.285312659
360	2.16766819	0.577867046	0.867738631	0.910875143	0.286951981
361	2.17158841	0.577746538	0.8662889	0.91188052	0.288564066
362	2.18043265	0.577474363	0.864903843	0.914147773	0.290168265
363	2.18935439	0.577199803	0.863862342	0.91643489	0.291764466
364	2.193508	0.577071978	0.863443512	0.917499683	0.293352548
365	2.18821777	0.579563007	0.863804463	0.917035608	0.294921173
366	2.17564026	0.585179882	0.864773081	0.915881203	0.296473708
367	2.16132687	0.590845969	0.866138779	0.914446801	0.298033553
368	2.15082937	0.59348388	0.867690978	0.91314256	0.299624112
369	2.14491132	0.592442441	0.87041592	0.912083969	0.301268698
370	2.14007277	0.590092428	0.874429518	0.91105072	0.302950945
371	2.13584214	0.587721825	0.87807589	0.909970375	0.304633784
372	2.13174888	0.586618164	0.879698775	0.908770552	0.306280146
373	2.12707118	0.58797419	0.877697343	0.907081553	0.307872076
374	2.12218813	0.591032505	0.873183435	0.905013993	0.309432541
375	2.11833209	0.594117616	0.868629979	0.903257102	0.310984947
376	2.11673552	0.595553924	0.866510065	0.902500217	0.3125527
377	2.11868469	0.594851686	0.866559552	0.902751352	0.314134902
378	2.12400523	0.59303467	0.866705726	0.903417533	0.315721202
379	2.13169798	0.590616534	0.866936609	0.904339662	0.317323012
380	2.14076368	0.588110718	0.867240842	0.905358783	0.318951745
381	2.15760411	0.584779059	0.86840139	0.906985506	0.320631468
382	2.18366506	0.580475522	0.870712435	0.909282104	0.322351068
383	2.20965894	0.576740259	0.873338792	0.911339832	0.324067085
384	2.22629587	0.575113796	0.875445029	0.912249736	0.325736054
385	2.23447514	0.575795282	0.877086737	0.910827095	0.327328236
386	2.24132826	0.57733296	0.878696605	0.907618718	0.328873564
387	2.24605363	0.57888411	0.879925579	0.904382232	0.330418154
388	2.24784731	0.579606265	0.88042439	0.902875448	0.332008125
389	2.23260505	0.579038531	0.879137609	0.903431635	0.333662962
390	2.19823562	0.577757915	0.876235854	0.904754651	0.335357695
391	2.16356507	0.57646608	0.873308676	0.906260085	0.337073322
392	2.14742379	0.575864651	0.871945894	0.907363802	0.338790845
393	2.14913765	0.575887045	0.872051128	0.908065845	0.340531427
394	2.15301289	0.575955314	0.872289325	0.908711906	0.342297876
395	2.15692209	0.57606788	0.872529609	0.909186735	0.344039236
396	2.15874206	0.576223337	0.872641476	0.909374948	0.345704541
397	2.15463513	0.57891881	0.871430354	0.908388452	0.347254684
398	2.14537357	0.584756998	0.868699434	0.906163978	0.348729105
399	2.13603086	0.590601086	0.865944586	0.903920014	0.350195376
400	2.13168126	0.593313465	0.864662036	0.902875311	0.351721071
401	2.13694281	0.591134963	0.866480405	0.902931916	0.353328194
402	2.1488095	0.586221045	0.870581338	0.903060251	0.354982243
403	2.16078017	0.581264074	0.8747182	0.903189711	0.356669191
404	2.16635325	0.5789563	0.876644164	0.903249982	0.358375016
405	2.1633422	0.581207355	0.875579918	0.902567005	0.360112584
406	2.15639923	0.586284596	0.873097635	0.901026985	0.36188555
407	2.14901838	0.591406322	0.870389038	0.899473471	0.363663196
408	2.14469297	0.593790799	0.86864561	0.898750215	0.365414794
409	2.14357473	0.593786475	0.867850969	0.900533375	0.367157608
410	2.14296035	0.593771235	0.867181443	0.90455454	0.368901205
411	2.14232299	0.593746073	0.86671788	0.908610936	0.370598364
412	2.1411365	0.593711278	0.866541401	0.910499438	0.372201854
413	2.13304496	0.593053026	0.866746998	0.910450663	0.373679344
414	2.11703709	0.591622455	0.867234327	0.910304756	0.375070302
415	2.10131151	0.590189485	0.867785394	0.910070378	0.376435452
416	2.09406874	0.589524232	0.868182188	0.909755642	0.377835516
417	2.1006479	0.589861001	0.868377224	0.907693057	0.379269695
